movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Instructions Not Included,Three Men and a Baby,The Brothers,Four Single Fathers,Boynton Beach Club,Lovely & Amazing
Paranormal Activity 4,Troll Hunter,The Wicked Within,The Frozen,American Beast,Hoodwinked Too! Hood VS. Evil
The Robe,The Last Temptation of Christ,Son of God,The Young Messiah,Risen,The Visual Bible: The Gospel of John
The Return of the Pink Panther,The Pink Panther,Larry the Cable Guy: Health Inspector,From Hell,Blue Streak,Identity Thief
Freddy's Dead: The Final Nightmare,A Nightmare on Elm Street 3: Dream Warriors,A Nightmare on Elm Street Part 2: Freddy's Revenge,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 5: The Dream Child,A Nightmare on Elm Street
Monster,Copycat,Boys Don't Cry,Frenzy,N-Secure,Righteous Kill
"20,000 Leagues Under the Sea",Das Boot,The Abyss,Captain Phillips,Pirates of the Caribbean: Dead Man's Chest,K-19: The Widowmaker
Paranormal Activity: The Marked Ones,The Lords of Salem,Area 51,#Horror,It Follows,Idle Hands
The Elephant Man,Race,My Dog Tulip,Baghead,City By The Sea,The Grandmaster
Dallas Buyers Club,Jesus' Son,The 33,For Colored Girls,Get Rich or Die Tryin',The Flowers of War
The Lazarus Effect,The Apparition,Charly,The Naked Gun 33⅓: The Final Insult,Hot Rod,The Devil's Tomb
Memento,Amnesiac,Devil,Dark City,The I Inside,Salton Sea
Oculus,The Awakening,The Haunting in Connecticut 2: Ghosts of Georgia,Dylan Dog: Dead of Night,White Noise,Femme Fatale
Clerks II,Alvin and the Chipmunks: The Road Chip,Gentlemen Broncos,Friends with Benefits,Wanderlust,Dogma
Billy Elliot,Growing Up Smith,The Bélier Family,Bad Grandpa,The Inkwell,Four Single Fathers
The Way Way Back,Georgia Rule,Just Looking,Adventureland,Summer Storm,It's Kind of a Funny Story
House Party 2,The Producers,Birdman,Pitch Perfect,Here On Earth,Ishtar
The Man from Snowy River,The Crime of Padre Amaro,Supercross,My Girl,Flicka,After Earth
Doug's 1st Movie,A Monster in Paris,The Cookout,Curious George,Monster House,Happy Feet Two
The Apostle,Get Low,"Happy, Texas",Barney's Version,The Yellow Handkerchief,Secondhand Lions
Mommie Dearest,The Haunted Mansion,Auto Focus,Hachi: A Dog's Tale,The Open Road,Sherrybaby
Our Idiot Brother,A Streetcar Named Desire,The Savages,Samantha: An American Girl Holiday,Brother,The Joneses
Race,The Monuments Men,Find Me Guilty,The Express,Prefontaine,The Elephant Man
The Players Club,Bizarre,Exotica,The Amazing Catfish,The Exploding Girl,Idlewild
"As Above, So Below",National Treasure,The Lords of Salem,Area 51,District B13,[REC]²
Addicted,The Number 23,The Prestige,Wild Grass,Original Sin,Wuthering Heights
Eve's Bayou,Ramona and Beezus,Sherrybaby,The Savages,Not Easily Broken,3 Backyards
Still Alice,The Mirror Has Two Faces,Lake Mungo,This Christmas,Madadayo,Flubber
The Egyptian,Agora,The Warlords,The Assassin,The Young Messiah,The Duchess
Nighthawks,The Siege,Dead Man Down,The Algerian,Safe,Bullet to the Head
Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VI: Jason Lives,Jason Goes to Hell: The Final Friday,Friday the 13th: The Final Chapter,The Day After Tomorrow,Friday the 13th Part 2
My Big Fat Greek Wedding,Meet the Fockers,Guess Who,Big Daddy,Date Movie,My Big Fat Greek Wedding 2
Spring Breakers,Harvard Man,Porky's,Kids,Amidst the Devil's Wings,Dope
Halloween: The Curse of Michael Myers,Halloween 4: The Return of Michael Myers,Halloween 5: The Revenge of Michael Myers,Warlock: The Armageddon,Malevolence,Halloween
Y Tu Mamá También,Anomalisa,Magic Mike XXL,The Lucky Ones,Kids,Miss March
Shaun of the Dead,Raising Helen,Up,Survival of the Dead,The Back-Up Plan,The Life Aquatic with Steve Zissou
The Haunting of Molly Hartley,Peggy Sue Got Married,R.L. Stine's Monsterville: The Cabinet of Souls,Darkness,Beautiful Creatures,Mumford
Lone Star,Blazing Saddles,The Last Stand,Silverado,The Killer Inside Me,Brigham City
Halloween 4: The Return of Michael Myers,Halloween: The Curse of Michael Myers,Halloween 5: The Revenge of Michael Myers,Halloween: Resurrection,The Stepfather,The Rite
April Fool's Day,I Know What You Did Last Summer,River's Edge,I Still Know What You Did Last Summer,The Widow of Saint-Pierre,Super 8
Diner,Deterrence,A History of Violence,Boynton Beach Club,A Cinderella Story,Legion
Lone Wolf McQuade,Kung Fu Jungle,Man of the House,Scarface,Jesus' Son,The Raid
Apollo 18,The Adventures of Pluto Nash,Armageddon,Apollo 13,Moon,Pandorum
Sunshine Cleaning,Lovely & Amazing,Ed and His Dead Mother,CJ7,Blue Like Jazz,Tiny Furniture
No Escape,Darkness,The Cold Light of Day,Dwegons,Out of the Dark,Serial Mom
The Beastmaster,Paa,After Earth,The Crime of Padre Amaro,The Grandmaster,The Man from Snowy River
Solomon and Sheba,12 Years a Slave,Ironclad,The Prisoner of Zenda,Censored Voices,Alexander
Fifty Shades of Black,Sydney White,Like Crazy,Loser,Extreme Movie,Down to Earth
Not Easily Broken,The Heart of Me,The Vow,Love Me Tender,Kabhi Alvida Naa Kehna,The Story of Us
A Farewell to Arms,The Land Girls,Battle of the Year,Waterloo,Fort McCoy,Catch-22
The Perfect Match,The Young Unknowns,Hit & Run,The Opposite Sex,Good Luck Chuck,The Brothers
Digimon: The Movie,Eragon,Return to Never Land,Hackers,Epic,Doogal
Saved!,Fifty Shades of Grey,Latter Days,To Save A Life,Red State,The Perfect Wave
The Barbarian Invasions,When Did You Last See Your Father?,Life as a House,The Royal Tenenbaums,Fat Albert,Cat on a Hot Tin Roof
Robin and Marian,Robin Hood: Prince of Thieves,Silver Medalist,Six Days Seven Nights,Walking Tall,First Knight
The Forsaken,BloodRayne,Blade II,Bled,Dracula 2000,Carriers
Force 10 from Navarone,xXx,Lone Survivor,U-571,Mission: Impossible - Rogue Nation,Fury
UHF,We Own the Night,Four Single Fathers,Holy Man,Mutual Appreciation,To Die For
Grandma's Boy,Pixels,Stay Alive,Wreck-It Ralph,eXistenZ,Nerve
Slums of Beverly Hills,Welcome to the Dollhouse,It's Kind of a Funny Story,Eulogy,Somewhere,Thumbsucker
Once Upon a Time in the West,Pale Rider,High Noon,Blazing Saddles,Wyatt Earp,Maleficent
Made,Taxman,The Helix... Loaded,Blood Ties,Easy Money,The Way of the Gun
Moon,The Adventures of Pluto Nash,Apollo 18,Ender's Game,Silent Running,The 6th Day
Keeping Up with the Steins,Eulogy,My Big Fat Greek Wedding 2,The Naked Ape,Extreme Movie,Life During Wartime
Sea Rex 3D: Journey to a Prehistoric World,Walking With Dinosaurs,Jupiter Ascending,Dolphins and Whales: Tribes of the Ocean,Land of the Lost,Ice Age: Dawn of the Dinosaurs
The Sweet Hereafter,Thinner,Michael Clayton,Miracles from Heaven,Aberdeen,Won't Back Down
Of Gods and Men,One Man's Hero,Waterloo,Rust,Religulous,Faith Connections
Bottle Shock,Sideways,A Good Year,Perfume: The Story of a Murderer,Ratatouille,Midnight in Paris
Jekyll and Hyde ... Together Again,The Helix... Loaded,Poultrygeist: Night of the Chicken Dead,Jennifer's Body,Krampus,Repo! The Genetic Opera
Heavenly Creatures,The Time Traveler's Wife,Love Letters,Savage Grace,Boys Don't Cry,Mirrormask
90 Minutes in Heaven,The Animal,Brick Lane,Wuthering Heights,Kites,Without Limits
Everything Must Go,Boynton Beach Club,Please Give,The Incredibly True Adventure of Two Girls In Love,The Brothers,Four Single Fathers
Zero Effect,A Walk Among the Tombstones,Murder by Numbers,Alone in the Dark,The Curse of the Jade Scorpion,Family Plot
The Machinist,The Face of an Angel,Angel Eyes,Anomalisa,Trash,When Did You Last See Your Father?
Light Sleeper,On the Outs,Get Rich or Die Tryin',Jesus' Son,Heli,Dallas Buyers Club
Kill the Messenger,Casino Jack,The Pledge,Easy Money,Blood Done Sign My Name,Zodiac
Rabbit Hole,Winnie Mandela,The Vow,Cheap Thrills,Raising Helen,Aloft
Party Monster,Nine Queens,We Own the Night,Trainspotting,Four Single Fathers,Life During Wartime
Green Room,Maniac,Repo Man,Timber Falls,Hedwig and the Angry Inch,Nine Dead
The Oh in Ohio,The Canyons,Love Letters,Your Sister's Sister,Anomalisa,The Rules of Attraction
Atlas Shrugged Part III: Who is John Galt?,Elysium,Apocalypto,The Art of War,Star Trek: The Motion Picture,City By The Sea
Bottle Rocket,Amidst the Devil's Wings,Nine Queens,Mi America,Blood Ties,Easy Money
Albino Alligator,The Negotiator,Frenzy,Nine Queens,Jimmy and Judy,Feast
"Gandhi, My Father",Water,Gandhi,Character,Paa,Tango
Standard Operating Procedure,Penitentiary,Fortress,The Shawshank Redemption,Prison,Civil Brand
Out of the Blue,Out of the Blue,The Last Song,Somewhere,Partition,A Walk to Remember
Out of the Blue,Out of the Blue,The Last Song,Somewhere,Partition,A Walk to Remember
Tucker and Dale vs Evil,The Cabin in the Woods,The Evil Dead,Girls Gone Dead,Mad Hot Ballroom,Moms' Night Out
"Lovely, Still",The Believer,Next Stop Wonderland,The Incredibly True Adventure of Two Girls In Love,Veer-Zaara,Love Letters
Tycoon,The Heart of Me,Dear John,Love Me Tender,Arn: The Knight Templar,The Assassin
Desert Blue,The Claim,Driving Lessons,Tumbleweeds,Dudley Do-Right,Without Men
Decoys,The Boys from Brazil,Videodrome,Donkey Punch,Vanilla Sky,Eden Lake
The Visit,The Amityville Horror,Jeepers Creepers,The Harvest (La Cosecha),Signs,The Devil Inside
Redacted,Love Me Tender,Everything Put Together,Redemption Road,Airlift,Roll Bounce
Fascination,Not Cool,Scott Pilgrim vs. the World,The Battle of Shaker Heights,London to Brighton,The Next Three Days
Area 51,Impostor,The Cold Light of Day,Banshee Chapter,The X Files,Diary of the Dead
Sleep Tight,Lady in the Water,The Cry of the Owl,Beyond the Valley of the Dolls,40 Days and 40 Nights,Room
The Cottage,The Taking of Pelham 1 2 3,Jennifer's Body,Hatchet,Malevolence,Crying with Laughter
Dead Like Me: Life After Death,It's a Wonderful Life,The Cookout,Four Single Fathers,Max Keeble's Big Move,Blow
Farce of the Penguins,March of the Penguins,Run All Night,"You, Me and Dupree",Ghost,Bubble Boy
Flying By,About Schmidt,1982,3 Days to Kill,You Will Meet a Tall Dark Stranger,The Geographer Drank His Globe Away
Rudderless,Drumline,When Did You Last See Your Father?,Character,Paa,Hits
Henry & Me,Highway,Firewall,A Thousand Words,Last Action Hero,Jack Brooks: Monster Slayer
Christmas Eve,The Incredibly True Adventure of Two Girls In Love,A Charlie Brown Christmas,Hav Plenty,The Family Stone,Krampus
We Have Your Husband,I Dreamed of Africa,The Loss of Sexual Innocence,Darling Companion,A Mighty Heart,Winnie Mandela
Dying of the Light,The November Man,Mission: Impossible,Jack Ryan: Shadow Recruit,Criminal,Eden Lake
Born Of War,Escobar: Paradise Lost,The Cold Light of Day,Loser,Nicholas Nickleby,Open Road
Capricorn One,The Right Stuff,Deep Impact,Gravity,Moonraker,Red Planet
Should've Been Romeo,The Four Seasons,Lovely & Amazing,Larry Crowne,Wild Target,Hope Springs
Running Forever,Love's Abiding Joy,Johnson Family Vacation,The Master of Disguise,The Young and Prodigious T.S. Spivet,Because of Winn-Dixie
Yoga Hosers,R.L. Stine's Monsterville: The Cabinet of Souls,Vampires,Krampus,Tusk,The Lords of Salem
Navy Seals vs. Zombies,Dead Snow,Resident Evil: Afterlife,Re-Kill,The Expendables 3,Highlander
I Served the King of England,There Will Be Blood,The Chumscrubber,Last I Heard,Funny Ha Ha,Mumford
Soul Kitchen,Woman on Top,The Hundred-Foot Journey,Four Single Fathers,Dangerous Liaisons,Simply Irresistible
Sling Blade,"Lovely, Still",The Believer,Choke,Next Stop Wonderland,Monster's Ball
The Awakening,Oculus,Stir of Echoes,The Apparition,Tanner Hall,The Boy
Hostel,Jennifer's Body,Bleeding Hearts,The Lords of Salem,The Beyond,Baghead
A Cock and Bull Story,Two Girls and a Guy,The Truman Show,Raising Helen,Somewhere,Real Women Have Curves
Take Shelter,Noah,The Last Godfather,Nicholas Nickleby,Abandoned,Boogeyman
Lady in White,The Slaughter Rule,Twixt,Plush,The Butterfly Effect,Sorority Row
Driving Lessons,Blue Car,Clockwatchers,Life During Wartime,The Poker House,Mystic Pizza
Let's Kill Ward's Wife,The Cookout,Full Frontal,Duel in the Sun,Ed and His Dead Mother,Men with Brooms
The Texas Chainsaw Massacre 2,The Texas Chain Saw Massacre,Texas Chainsaw 3D,The Tooth Fairy,Eddie: The Sleepwalking Cannibal,The Texas Chainsaw Massacre: The Beginning
Pat Garrett & Billy the Kid,Young Guns,No Man's Land: The Rise of Reeker,The Specials,American Outlaws,Chicago Overcoat
Only God Forgives,Out of the Furnace,Contraband,Killer Joe,Maria Full of Grace,Deadfall
Camping Sauvage,Character,Saving Private Perez,Betty Fisher and Other Stories,Paa,The Ring Two
Without Men,16 to Life,Boynton Beach Club,Blazing Saddles,Phat Girlz,Mumford
Dear Frankie,The Devil's Own,Angela's Ashes,The Crime of Padre Amaro,The Quiet,Little Boy
All Hat,The Kite Runner,Among Giants,Welcome to Mooseport,Four Single Fathers,Wristcutters: A Love Story
The Names of Love,Anything Else,Blue Like Jazz,Whipped,The Front Page,How to Lose Friends & Alienate People
Treading Water,Raising Helen,The Truman Show,Martin Lawrence Live: Runteldat,Real Women Have Curves,Under the Tuscan Sun
Savage Grace,Character,Heavenly Creatures,Departure,Paa,Betty Fisher and Other Stories
Out of the Blue,Out of the Blue,This Is Martin Bonner,Firestorm,Thirteen Conversations About One Thing,Blood Done Sign My Name
Out of the Blue,Out of the Blue,This Is Martin Bonner,Firestorm,Thirteen Conversations About One Thing,Blood Done Sign My Name
Police Academy,The Jerky Boys,Bon Cop Bad Cop,Jimmy and Judy,Out of Time,Frenzy
The Blue Lagoon,Return to the Blue Lagoon,Swept Away,All the Real Girls,Caravans,Mr. Church
Four Weddings and a Funeral,My Big Fat Greek Wedding 2,Next Stop Wonderland,Notting Hill,Lovely & Amazing,My Best Friend's Wedding
Fast Times at Ridgemont High,Love and Other Catastrophes,Detention of the Dead,Notes on a Scandal,Election,Snow Day
Moby Dick,In the Heart of the Sea,"20,000 Leagues Under the Sea",The Reef,Pirates of the Caribbean: On Stranger Tides,Brooklyn
25th Hour,Penitentiary,Prison,The Shawshank Redemption,Frances Ha,Out of the Furnace
Bound,Exiled,Nine Queens,Dangerous Liaisons,The Count of Monte Cristo,Double Jeopardy
Requiem for a Dream,Trainspotting,Jesus' Son,Amidst the Devil's Wings,Nine Queens,Bound by Honor
State Fair,Bride & Prejudice,Footloose,The Bélier Family,High School Musical 3: Senior Year,My Fair Lady
Tango,Fiza,Flashdance,Stories of Our Lives,Housefull,Veer-Zaara
Salvador,Reds,Sound of My Voice,The Devil Wears Prada,The Front Page,The Face of an Angel
Moms' Night Out,This Is 40,Role Models,Mad Hot Ballroom,Pay It Forward,I Don't Know How She Does It
Donnie Darko,It's Kind of a Funny Story,Final Destination,Napoleon Dynamite,The Christmas Bunny,The Way Way Back
Saving Private Perez,Camping Sauvage,DodgeBall: A True Underdog Story,Get Him to the Greek,Beyond the Valley of the Dolls,Her Cry: La Llorona Investigation
Character,Paa,Camping Sauvage,Betty Fisher and Other Stories,The Ring Two,Seventh Son
Spun,College,Deadline - U.S.A.,Adventureland,Happy Christmas,Fetching Cody
Life During Wartime,Eulogy,My Big Fat Greek Wedding 2,Boynton Beach Club,Griff the Invisible,Tea with Mussolini
Sympathy for Lady Vengeance,The Last Sin Eater,The Inkwell,Mercury Rising,The Replacement Killers,Partition
Mozart's Sister,Nowhere Boy,Winnie Mandela,La Bamba,The Age of Adaline,Coco Before Chanel
Mean Machine,American History X,Penitentiary,Ocean's Eleven,Prison,12 Rounds
Exiled,Nighthawks,Amidst the Devil's Wings,Bound,Kill Bill: Vol. 2,Dead Man Down
Blackthorn,Silver Medalist,Caravans,Puss in Boots,30 Minutes or Less,Dragon Blade
Lilya 4-ever,Sexy Beast,Raising Helen,Ca$h,Fugly,In the Name of the King III
After.Life,The Dead Girl,The Unborn,Goddess of Love,Get Low,Flatliners
Fugly,Raising Helen,The Loss of Sexual Innocence,Angel Eyes,Life or Something Like It,Open Road
One Flew Over the Cuckoo's Nest,Redemption Road,K-PAX,Dead Poets Society,House of Flying Daggers,Catch-22
R.L. Stine's Monsterville: The Cabinet of Souls,The Lost Boys,My Name Is Bruce,Lesbian Vampire Killers,16 to Life,The Crazies
Silent Movie,Bowfinger,Disaster Movie,America's Sweethearts,My Big Fat Independent Movie,Extreme Movie
Airlift,Operation Chromite,Redacted,Red Tails,Inchon,13 Hours: The Secret Soldiers of Benghazi
Anne of Green Gables,Amour,The Last Song,Ever After: A Cinderella Story,The Brothers McMullen,Poltergeist III
Falcon Rising,Silver Medalist,Avatar,MacGruber,Jarhead,Battle: Los Angeles
The Sweeney,Amidst the Devil's Wings,Street Kings,Swelter,The Glimmer Man,Tracker
Sexy Beast,Nine Queens,Lilya 4-ever,Seven Psychopaths,Deadfall,Payback
Easy Money,Blood Ties,Nine Queens,Killer Joe,Dead Man Down,Amidst the Devil's Wings
Whale Rider,Four Single Fathers,Return to Oz,The Day After Tomorrow,Thirteen,The Namesake
Paa,Character,Betty Fisher and Other Stories,When Did You Last See Your Father?,Little Boy,Departure
Cargo,Solaris,Space Pirate Captain Harlock,Alien,Galaxina,Ender's Game
High School Musical,Bandslam,High School Musical 2,High School Musical 3: Senior Year,Hamlet 2,Rock of Ages
Love and Death on Long Island,Two Girls and a Guy,Tootsie,Tango,Fiza,Veer-Zaara
Night Watch,Prince of Persia: The Sands of Time,The Purge: Election Year,Underworld: Evolution,Epic,The Sisterhood of Night
The Crying Game,Buffalo Soldiers,Fifty Dead Men Walking,Patriot Games,Gentleman's Agreement,The Wind That Shakes the Barley
Porky's,Losin' It,Sex Drive,American Pie,Spring Breakers,The Dirties
Survival of the Dead,Night of the Living Dead,Day of the Dead,Diary of the Dead,The Walking Deceased,Re-Kill
Night of the Living Dead,Diary of the Dead,The Walking Deceased,Dawn of the Dead,Survival of the Dead,Detention of the Dead
Lost in Translation,The Sleepwalker,Bon voyage,Middle of Nowhere,The Bubble,Crazy in Alabama
Annie Hall,My Last Day Without You,Anything Else,Man on the Moon,The Broadway Melody,Laws of Attraction
The Greatest Show on Earth,Love Me Tender,The Perfect Man,Water for Elephants,Trapeze,Amidst the Devil's Wings
Monster's Ball,Romance & Cigarettes,The Heart of Me,Gone with the Wind,The Green Mile,"Lovely, Still"
Maggie,Zombie Hunter,The Book of Eli,Warm Bodies,28 Days Later,I Am Legend
Leaving Las Vegas,Supercross,Pink Narcissus,Pretty Woman,Showgirls,Topsy-Turvy
Hansel and Gretel Get Baked,Idle Hands,Happy Christmas,The Witch,Pineapple Express,The Lords of Salem
The Front Page,The Devil Wears Prada,Big Daddy,Sound of My Voice,The Pelican Brief,Salvador
The Boy Next Door,Alone With Her,Alien Zone,Derailed,Notes on a Scandal,Love Letters
Trapeze,Water for Elephants,The Greatest Show on Earth,Redemption Road,Abandoned,Little Voice
The Kids Are All Right,"Monsters, Inc.",Ponyo,In the Name of the King III,"Yours, Mine and Ours",Somewhere
They Live,The Darkest Hour,Creature,Megiddo: The Omega Code 2,Left Behind,Devil
The Great Escape,Red Tails,Schindler's List,Fort McCoy,The Great Raid,Catch-22
What the #$*! Do We (K)now!?,Head Over Heels,Blue Car,A Million Ways to Die in the West,Sholem Aleichem: Laughing In The Darkness,Give Me Shelter
The Last Exorcism Part II,Diary of the Dead,Flatliners,Black Christmas,Raising Helen,Book of Shadows: Blair Witch 2
Boyhood,Nicholas Nickleby,The Young Messiah,The Longshots,An Education,Paa
Scoop,Bananas,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,The Work and the Glory II: American Zion,Four Weddings and a Funeral,The Wailing
The Wash,Feast,High Anxiety,The Helix... Loaded,Spellbound,Funny Ha Ha
3 Strikes,Life or Something Like It,Hudson Hawk,Hav Plenty,High Heels and Low Lifes,The Change-Up
The Cooler,The House of Mirth,Supercross,The Good Thief,Magnolia,Pandora's Box
The Misfits,Red Tails,Love Me Tender,Dry Spell,Flyboys,Letters from Iwo Jima
The Night Listener,Letters to God,The Dead Girl,Sympathy for Lady Vengeance,Thumbsucker,Clockwatchers
The Jerky Boys,We Own the Night,Mickey Blue Eyes,Chicago,Blood Ties,Easy Money
The Orphanage,The Haunting in Connecticut 2: Ghosts of Georgia,Out of the Dark,Insidious: Chapter 3,May,Happy Christmas
A Haunted House 2,Four Single Fathers,My Super Ex-Girlfriend,Housebound,Don't Be Afraid of the Dark,The Amityville Horror
The Rules of Attraction,Boynton Beach Club,Love and Other Catastrophes,Jesus' Son,The Incredibly True Adventure of Two Girls In Love,The Ten
Topaz,Deterrence,The November Man,Clear and Present Danger,Jack Ryan: Shadow Recruit,Bridge of Spies
Let's Go to Prison,Character,The Crew,White Oleander,Drive Hard,The Perfect Host
Four Rooms,Dirty Pretty Things,The Best Exotic Marigold Hotel,Hotel Transylvania 2,The Second Best Exotic Marigold Hotel,1408
Secretary,The Age of Innocence,The Girl on the Train,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Shooting Fish,Lovely & Amazing
The Real Cancun,Girls Gone Dead,Freakonomics,Wal-Mart: The High Cost of Low Price,The Signal,The Exploding Girl
Talk Radio,Lords of Dogtown,The Night Listener,Weekend,Everything Put Together,Flawless
Waiting for Guffman,Can't Stop the Music,42nd Street,Hamlet 2,Best in Show,A Mighty Wind
Love Stinks,The Story of Us,The Big Wedding,Disaster Movie,Our Family Wedding,Hope Springs
You Kill Me,The Lost Weekend,Femme Fatale,Chicago Overcoat,Crying with Laughter,The Ladykillers
Thumbsucker,Eulogy,Slums of Beverly Hills,Napoleon Dynamite,Growing Up Smith,Ice Princess
Red State,Saved!,Salvation Boulevard,Devil,Fifty Shades of Grey,The Green Inferno
Mirrormask,The Lunchbox,Ink,Epic,Beasts of the Southern Wild,The Brave Little Toaster
Samsara,The Truman Show,Ayurveda: Art of Being,Last I Heard,The Tree of Life,Raising Helen
The Barbarians,Rio,Warlock: The Armageddon,Krull,How to Train Your Dragon 2,Dungeons & Dragons: Wrath of the Dragon God
The Art of Getting By,The Spectacular Now,School for Scoundrels,LOL,Rocket Singh: Salesman of the Year,Paper Towns
Zipper,Wuthering Heights,Jesus' Son,The Jimmy Show,The Grandmaster,Holy Motors
Poolhall Junkies,The Hustler,The Color of Money,Boynton Beach Club,Fetching Cody,Trade
The Loss of Sexual Innocence,The Face of an Angel,Winnie Mandela,La Bamba,Nowhere Boy,Son of God
Holy Motors,Kites,Cyrus,Up,Human Traffic,Raising Helen
Joe,Trees Lounge,Cat on a Hot Tin Roof,Albino Alligator,In Cold Blood,Elmer Gantry
Shooting Fish,Secretary,In the Company of Men,My Big Fat Greek Wedding 2,Bachelorette,Nine Queens
Prison,Bronson,The Shawshank Redemption,Out of the Furnace,Penitentiary,Double Jeopardy
Psycho Beach Party,Down in the Valley,The Shallows,American Pie 2,Win a Date with Tad Hamilton!,Rubber
The Big Tease,Incident at Loch Ness,Next Friday,Friday,Jack and Jill,The Original Kings of Comedy
"Guten Tag, Ramón",Partition,Julia,Bad Grandpa,Somewhere,Danny Collins
Trust,Welcome to the Dollhouse,Snow Angels,Partition,Hard Candy,Annie
An Everlasting Piece,Khiladi 786,It's a Wonderful Life,Young Sherlock Holmes,The Naked Gun 2½: The Smell of Fear,The Man
Among Giants,Shopgirl,Slam,Frozen River,Zookeeper,All Hat
Adore,The Last Song,The Way Way Back,Friends with Money,The Sisterhood of the Traveling Pants 2,A Home at the End of the World
The Velocity of Gary,Veer-Zaara,Forrest Gump,Love Letters,The Age of Adaline,Two Girls and a Guy
Mondays in the Sun,About Schmidt,Vicky Cristina Barcelona,The Marine,Nothing But a Man,I Am Wrath
Stake Land,Blade II,Fright Night,Underworld: Awakening,The Forsaken,Blade
The Last Time I Committed Suicide,Raising Helen,In the Name of the King III,Thirteen Conversations About One Thing,Nurse Betty,Peaceful Warrior
Futuro Beach,Cyrus,The Grandmaster,Kites,Good Luck Chuck,Me Before You
Another Happy Day,My Big Fat Greek Wedding 2,Eulogy,Four Single Fathers,Date Movie,Bachelorette
A Lonely Place to Die,Caravans,Nancy Drew,Limbo,The Possession,The Marine
Nothing,Life During Wartime,Christmas Mail,The Invention of Lying,The Helix... Loaded,Being John Malkovich
The Geographer Drank His Globe Away,Notes on a Scandal,Nothing But a Man,Wish I Was Here,Snow Day,The Hunt
1776,School Daze,History of the World: Part I,Evita,Fame,Get on Up
Inescapable,Jersey Girl,Wicker Park,Admission,Living Out Loud,Open Road
Hell's Angels,Diary of a Mad Black Woman,A Streetcar Named Desire,H.,Joyeux Noël,Fury
Purple Violets,Newlyweds,Walking and Talking,The Brothers McMullen,The Last Five Years,Boynton Beach Club
The Veil,The Call of Cthulhu,Idle Hands,"I Love You, Don't Touch Me!",Event Horizon,American Beast
The Loved Ones,Vampires Suck,Prom,Carrie,Trippin',Getaway
The Helpers,Karachi se Lahore,The Texas Chainsaw Massacre: The Beginning,The Ruins,Crowsnest,The Brown Bunny
How to Fall in Love,This Means War,The Slaughter Rule,Whipped,Private Benjamin,Bright Star
The Perfect Wave,I Dreamed of Africa,The Incredibly True Adventure of Two Girls In Love,Walking and Talking,Raising Helen,The Perfect Man
A Man for All Seasons,Kites,Holy Motors,Cyrus,The Duchess,Smoke Signals
Network,Bamboozled,Top Five,Death to Smoochy,The Postman Always Rings Twice,10 Days in a Madhouse
Gone with the Wind,Love Me Tender,Casablanca,Red Tails,Gods and Generals,Catch-22
Desert Dancer,Flashdance,Take the Lead,ABCD (Any Body Can Dance),The Loss of Sexual Innocence,Winnie Mandela
Major Dundee,Glory,Casa De Mi Padre,Gods and Generals,Fort McCoy,One Man's Hero
Annie Get Your Gun,The Sound of Music,Fame,My Last Day Without You,Annie,Love Me Tender
Four Lions,Carlos,Chariots of Fire,American Desi,Easy Money,Redemption Road
The House of Sand,Flight of the Phoenix,Kites,Philomena,Winnie Mandela,Swelter
Defendor,The World Is Mine,Batman Begins,Hot Pursuit,Mi America,Hobo with a Shotgun
The Pirate,Pirates of the Caribbean: The Curse of the Black Pearl,The Pirates! In an Adventure with Scientists!,The Broadway Melody,Rock of Ages,Annie Hall
The Good Heart,"Synecdoche, New York",About Last Night,Albino Alligator,Four Single Fathers,Last I Heard
The History Boys,The Class,Freedom Writers,The Chorus,Bad Teacher,The Wave
Midnight Cowboy,Deuces Wild,The Best Man,Frances Ha,Four Single Fathers,Pink Narcissus
The Full Monty,"Lock, Stock and Two Smoking Barrels",Moms' Night Out,Extreme Movie,The Apartment,Nick and Norah's Infinite Playlist
Airplane!,A Guy Named Joe,Broken Arrow,Good Kill,Turbulence,Modern Problems
Chain of Command,The Expendables 2,Licence to Kill,Dead Man's Shoes,The Cold Light of Day,Four Brothers
Friday,Next Friday,Boyz n the Hood,Janky Promoters,Undiscovered,Tammy
Menace II Society,Amidst the Devil's Wings,Freedom Writers,The Wackness,21 Jump Street,The Loss of Sexual Innocence
Creepshow 2,Creepshow,Raymond Did It,Eden Lake,Diary of the Dead,Friday the 13th Part III
The Ballad of Cable Hogue,The Helix... Loaded,Point Blank,Blazing Saddles,Flight of the Phoenix,The Best Little Whorehouse in Texas
In Cold Blood,City By The Sea,Deadfall,N-Secure,The Pledge,Freeze Frame
The Nun's Story,Spellbound,Restless,Critical Care,Red Tails,Proud
Harper,Amidst the Devil's Wings,Double Jeopardy,Nine Queens,Stolen,Side Effects
Frenzy,The Blue Room,Nine Queens,Jimmy and Judy,Blood Work,Zodiac
The Witch,Sinister,The Haunting in Connecticut 2: Ghosts of Georgia,The Last Exorcism Part II,Up,The Omen
